title,create_year,number_of_acts,genres,settings,time_and_place,cast_size,orchestra_size,dancing,casting_notes,tags,ideal_for,synopsis,cluster
pacific overtures,1976,2,"Drama, Historical/Biographical",Period,"Japan, 1850s",large,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, elderly characters",sondheim;stephen sondheim;japan;kabuki;hal prince;star vehicle (male);mostly male cast;all male cast;asian-american;asian;immigration;international relations;international politics;diverse cast;tony nominee,"College/University, Community Theatre, Diverse Cast, Mostly Male Cast, Professional Theatre, Professional Opera, Regional Theatre","Taking place in 19th century Japan, the story concerns the culture clash sparked by America's 1853 mission to open up Japan to the West.  Up to this point, Japan had been an island empire living in peace for centuries, undisturbed by foreign intruders.  However, once Commodore Perry and the Americans arrive, a civilization of timeless tradition and seamless serenity begins to unravel under the impact of new ideas.  

The show includes elements of traditional Japanese theatre (Kabuki and Bunraku). In keeping with Japanese tradition, female characters are often played by male actors depending on the producer's discretion.",12
paint your wagon,1951,2,Comedy,"Period, Unit/Single Set","California Wilderness, 1853",large,Medium,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, early teen, late teen, young adult characters",gold rush;california;musical comedy;mining;wild west;love;mexican;dreaming;americana;miners;mostly male cast;western;american;mormon;gold;golden age;golden age musical;polygamy;I want song,"Star Vehicle Male, Star Vehicle Female, Regional Theatre, Professional Theatre, Mostly Male Cast, Large Cast, Ensemble Cast, Community Theatre, College/University","This Lerner and Loewe classic tells the story of the rise and fall of an isolated town at the height of the California Gold Rush. After years of searching for gold out West, Ben Rumson and his young daughter, Jennifer, strike it rich. At the burial service of another miner, Jennifer discovers a gold nugget and Rumson Town is born. Word of the strike spreads fast and soon Rumson Town is overflowing with 400 men, hoping to strike gold.  Meanwhile, Jennifer falls in love with a young Mexican prospector, Julio Valveras. Accustomed to the complete lack of female presence in town, the men feel uncomfortable with Jennifer's presence and demand Ben sends her back East to school. Tensions rise even further when a Mormon miner and his two wives come to town. When Jennifer returns back to the town unexpectedly, she discovers that Rumson Town has become a ghost town and Julio is gone. With determination and bravery, Jennifer seeks out Julio and is finally reunited with the man she loves. Filled with passion, greed, and a clash of cultures, Paint Your Wagon is a story of the wild West and the search for the American Dream. Featuring songs such as ""I Talk to the Trees"", ""How Can I Wait"", and the run-away hit, ""They Call The Wind Maria"", Paint Your Wagon is an American classic.",1
the pajama game,1954,2,"Comedy, Romance","Period, Multiple Settings","cedar rapids, iowa, 1954",medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult characters",activism;union;strike;love;class;golden age musical;production number;tony award best musical;tony award;tony nominee,"College/University, Community Theatre, High School, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Romance is blossoming at the Sleep-Tite Pajama Factory in Cedar Rapids, Iowa.  Handsome new Superintendent Sid Sorokin falls hard for feisty Union rep “Babe” Williams, and, despite her dismissal of all things love-related, it seems she’s falling right back.  That is, until Sleep-Tite employees are refused a seven-and-a-half cent raise, and the pair find themselves on either side of the union protest that results.  Based on Richard Bissel’s novel, 7 ½ cents, Adler and Ross’ Pajama Game portrays the ups and downs of romance, with the added heat of politics making the temperature extra hot.  Babe and Sid must figure out how to love when the principles they value most are tearing them apart.  First staged in 1954, The Pajama Game won three Tony awards, including best musical, and won another Tony for Best Revival in 2006, a testament to the fact that love, music, and politics are as hot as they ever were.  The Pajama Game features hit songs including “Hey There,” “Hernando’s Hideaway” and “Steam Heat” which have also become pop standards that climbed as high as number one in the US charts.",0
pal joey,1940,2,"Comedy, Romance","Period, Multiple Settings","Chicago, 1930s",medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult characters",rodgers and hart;richard rodgers;lorenz hart;rodgers;hart,"College/University, Community Theatre, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Pal Joey follows smooth-talking, cocky anti-hero Joey Evans as he worms his way into owning his own nightclub. Along the way, Joey juggles the affections of many women, including Linda English, a naive young woman, and Vera Simpson, a wealthy, married socialite. Vera begins to bankroll Joey’s new club, Chez Joey, until a crooked agent, Ludlow Lowell and his sidekick chorus girl, Gladys Bumps, threaten to tell Vera’s husband about her affair. Joey finally gets a taste of his own medicine when Vera dumps him and cuts the funding for his club. Linda hopes to win Joey’s heart, now that he is newly single, but unfortunately can’t keep the playboy tied down. Joey lands on his feet, not learning anything from his fall from grace, and continues his scheming ways.
Pal Joey is the penultimate collaboration of Rodger and Hart, and the first musical to feature an anti-hero lead. With classic songs like “Bewitched, Bothered and Bewildered”, Pal Joey is a great addition to any theatre season. This guide is based on the original 1940’s book of Pal Joey available for licensing through Concord Theatricals.",0
parade,1999,2,"Drama, Historical/Biographical",Multiple Settings,late 19th to early 20th century,large,Medium,None,"Mostly male cast
                                                                                                                            
                                            Includes early teen, late teen, elderly, young adult, adult, mature adult, child characters",large;ensemble cast;star vehicle (male);teenage roles;ethnic roles;civil war;south;jewish;sophisticated themes;tony nominee,"College/University, Diverse Cast, Ensemble Cast, Large Cast, Mature Audiences, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Parade tells the heart-wrenching, true story of Leo Frank: a Brooklyn-raised Jewish man living in Atlanta who was wrongfully convicted of the rape and murder of his thirteen-year-old employee, Mary Phagan, in 1913. Because Frank’s trial was replete with faulty testimony and lacked any clear evidence, Georgia’s governor eventually commuted his sentence from death to life imprisonment. Despite this ruling, a lynch mob hanged Frank in Mary Phagan’s hometown of Marietta, Georgia. The momentous case drew national attention to Anti-Semitism, and was pivotal to the founding of the Anti-Defamation League (ADL) as well as the reviving of the Ku Klux Klan in the South. With a characteristically rich, intricate, and wide-ranging score penned by Jason Robert Brown, and a bold willingness to dive into the complexities of early 20th century social relationships in the South, Parade is a sophisticated, dark tale with endless depths for a highly skilled company of actors and musicians to plumb.",3
pardon my english,1933,2,,,,large,,,Mostly male cast,,,"In order to promote the sale of alcoholic beverages, the German government has outlawed all soft drinks. As a result, soft drink speakeasies have been born. Golo Schmidt, a criminal mastermind, runs Klub 21 where illegal sodas are served. Golo used to be Michael Bramleigh, a suave British secret agent, until a hit on the head turned him German. Golo/Michael is hit on the head again -- and again -- which lets each of his personalities have a girlfriend. There's the fiery Polish chanteuse Gita Gobel for Golo; and for Michael, a bookish, bespectacled beauty named Frieda who is the daughter of Golo's nemesis, Police Commissioner Bauer.",0
passing strange,2008,2,"Comedy, Historical/Biographical",Simple/No Set,"los angeles, amsterdam, berlin, late 1970s",large,Rock Combo,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult characters",african-american;berlin;travel;amsterdam;bohemian;identity;growing up;tony nominee,"College/University, Community Theatre, Diverse Cast, Large Cast, Mature Audiences, Professional Theatre, Regional Theatre, Star Vehicle Male","A heartfelt, one-of-a-kind musical event, Passing Strange takes audiences on a journey from Los Angeles, to Amsterdam, to Berlin, and beyond. Rock musician Stew makes a powerful debut as playwright and narrator, telling the story of a nameless Youth who is on a quest to find “the real.” On the way, this young, African-American, middle-class man discovers what a bohemian life really involves, “passing” through the worlds of sex, drugs, and rock ‘n’roll -- and all the ups and downs in between. With soulful lyrics and soaring, heart-pounding music, Passing Strange is a unique experience that breaks theatrical boundaries, crosses musical genres, and ultimately brings the audience home with a new understanding of personal and creative authenticity.",0
passion,1994,2,"Drama, Romance","Period, Multiple Settings","Milan, Italy, 1863, military outpost",medium,Medium,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, late teen characters",italy;military;love;affair;romance;illicit love;star vehicle (female);star vehicle (male);passion;sondheim;1860s;letters;correspondence;memories;revenge;obsession;infatuation;i want song;love song;epiphany;devotion;tony award;stephen sondheim;lapine;james lapine;tony award best musical;tony nominee,"Chamber Opera, College/University, Community Theatre, Large Cast, Mostly Male Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","It is 1863. At a remote outpost in Italy, Captain Giorgio Bachetti and his beautiful lover Clara engage in a passionate relationship through letters, only reuniting through brief moments during Giorgio’s leave. But while he is at the outpost, Giorgio meets Fosca, the sickly and unattractive cousin of his superior officer. Focsa becomes obsessed with Giorgio and falls desperately in love with him. Giorgio refutes her advances, but cannot stay away from her, and finds himself understanding and appreciating her devotion to him. While he does love Clara, she is in Milan, and is married to another man. Giorgio realizes that he must make a choice and decide what kind of love he wants to have in his life. Will he continue the happiness of letters and an occasional reunion with the beautiful and devoted Clara? Or will he give in to the unrestrained passion of the sickly and obsessive Fosca? 
Often performed in only one act, Passion is Stephen Sondheim’s adaptation of the 1869 novel Fosca, by Igino Ugo Tarchetti, and the 1981 Ettore Scola film Passione d’Amore. Its trademark Sondheim sound mixes layered vocals with a complex storyline of passion, devotion, and the ultimate cost of true love.",0
peter pan,1954,3,"Comedy, Fairy Tale/Fantasy",Multiple Settings,"victorian england, neverland",large,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes child, early teen, late teen, adult, young adult, mature adult characters",youth;joy;fantasy;childhood;growing up;pirates;flying;family;love;orphan;boyhood;star vehicle (male);star vehicle (female);junior version;golden age;golden age musical;cross gender casting;comden and green,"College/University, Community Theatre, Diverse Cast, Elementary School, High School, Large Cast, Middle School, Professional Theatre, Regional Theatre, Religious Groups, Star Vehicle Female, Star Vehicle Male, Theatre For Young Audiences (TYA)","Peter Pan tells the classic J.M. Barrie tale of a young boy who refuses to grow up. On a quest to find stories with which to entertain his young cohorts in Neverland -- an island refuge for “Lost Boys” -- Peter returns to the real world and meets Wendy, Michael, and John Darling. The Darling children accompany Peter back to the magical Neverland, where they learn to fly, get involved in all sorts of adventures, defeat the evil Captain Hook, and are changed forever. J.M. Barrie’s masterful story shines especially brightly with a rich score that includes such beloved songs as “Tender Shepherd,” “Never Never Land,” and “Distant Melody.” A delightful musical featuring  singing pirates, daring swordfights, and fantastical make-believe, Peter Pan is a story that is filled with magic, delight, and just a fairy dusting of heartbreak.",0
the phantom of the opera,1986,2,"Drama, Romance","Multiple Settings, Spectacle",1880s,large,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult, late teen characters",romance;spectacle;andrew lloyd webber;supernatural;thriller;tragic romance;opera;period piece;junior version;star vehicle (female);star vehicle (male);tony award best musical;tony award;tony nominee;olivier award,"College/University, Community Theatre, High School, Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Based on the 1910 horror novel by Gaston Leroux, The Phantom of the Opera is a thrilling and romantic account of the legendary Phantom, a musical genius who dwells deep beneath a majestic opera house in Paris. Shunned by society for his horrible facial deformity, he takes a promising young soprano, Christine, under his wing and grooms her for operatic fame, all the while falling deeply in love with her. As Christine grows ever more successful, and a handsome young man from her past begins to successfully court her, the Phantom descends into a jealous rage and terrorizes the opera company with increasingly dangerous threats. Andrew Lloyd Webber’s score soars with such famous tunes as “Think of Me,” “All I Ask of You,” “The Music of the Night,” and the title song, “The Phantom of the Opera,” and Phantom has gone on to become a cultural tour de force, and one of the most successful musicals of all time.",14
pinkalicious the musical,2007,1,"Comedy, Fairy Tale/Fantasy","Contemporary, Fantasy/Imaginary, Unit/Single Set","Pinkville, Present Day",small,Recording,Some Dance,"Mostly female cast
                                                                                    
                                            Includes child, adult, young adult characters",children’s theatre;tya;theatre for young audiences;comedic;small cast;star vehicle (female);elementary school;child roles,"Theatre For Young Audiences (TYA), Star Vehicle Female, Small Cast, Professional Theatre, Regional Theatre, Mostly Female Cast, Middle School, Ensemble Cast, Elementary School","Pinkalicious adores the color pink. She wants everything to be the color pink, including her food. When Pinkalicious cannot stop eating pink cupcakes, she comes down with a case of “Pinkititis” which causes her to turn completely pink! At first, Pinkalicious is thrilled to be sporting her favorite color, but she must find a cure for her Pinkititis. Pinkalicious is joined by her family as they try to solve her pink predicament, learning a lesson of acceptance and unity along the way. This TYA show has quickly become an audience favorite and is sure to be the hit of the season with young theatre fans.",0
pippin,1972,2,"Dark Comedy, Fairy Tale/Fantasy",Multiple Settings,"england, middle ages (although deliberately historically inaccurate)",medium,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, elderly, child characters",story;fosse;allegory;love;youth;innocence;aging;passion;purpose;royal;concept musical;tony nominee,"College/University, Community Theatre, Diverse Cast, Ensemble Cast, Mature Audiences, Professional Theatre, Regional Theatre","As told by a traveling troupe of actors led by the cunning and charming Leading Player, Pippin is the story of a young prince, heir to the throne, who is searching for his own “corner of the sky.” Pippin returns from university certain that he will find a fulfilling purpose in life. As encouraged by the Leading Player, Pippin dabbles in bloody battle, licentious and lusty sexual entanglements, and saavy political maneuvers, only to discover that true happiness is more complicated than he thought. With infectious tunes by Stephen Schwartz and classic choreography from Bob Fosse, Pippin is both a humorous allegory about growing up and a dark tale of the danger of false appearances and empty promises.",8
the pirate queen,2006,2,"Drama, Historical/Biographical","Period, Multiple Settings, Spectacle","Ireland, 1550s, 1560s, England, Irish Sea, London",medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes late teen, young adult, adult, mature adult, child characters",irish;1550s;1560s;rebellion;monarchy;clans;love;honor;loyalty;mother;son;daughter;lover;i want song;love song;torch song;gaelic;betrayal;queen;heartbreak;reunion,"College/University, Community Theatre, Professional Theatre, Regional Theatre, Star Vehicle Female, Theatre","Based on the story of Grace O’Malley, the personification of Ireland, The Pirate Queen is a sweeping epic of love, honor, and piracy in Renaissance Ireland. Grace O’Malley is the heir to the O’Malley clan, and proves herself worthy through her bravery on the seas and skill in swordplay. In a time when women were expected to learn skills to make a good wife in the homestead, Grace defies her father and earns the title “The Pirate Queen,” inspiring men and women alike to follow her. When the English begin to attack and subjugate Ireland, only Grace has the strength and intelligence to negotiate peace with the powerful Queen Elizabeth I. With a score by Claude-Michel Schonberg and Alain Boublil, steeped in Irish traditions and powerful ballads, The Pirate Queen is both timeless history and epic romance for the stage.",7
police cops: the musical,2022,2,"Comedy, Parody","Unit/Single Set, Contemporary","USA and Mexico, 1980s",small,Small,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult characters",funny;comedy;spoof;parody;mexico;usa;1980s;cop shows;ensemble cast;multirole;pop;contemporary mt;physical comedy,"Diverse Cast, Ensemble Cast, Professional Theatre, Regional Theatre, Small Cast","Police Cops is a one-of-a-kind comedy musical, filled to the brim with clever jokes, gags, and physical comedy. Brooklyn 99 meets Book of Mormon, this whacky show takes place in the United States in the 80s and follows police rookie, Jimmy Johnson, as he tracks down the infamous drug dealer Hernandez. With the help of the old, retired police cop Harrison, the ex-chief of police Gonzalez, her granddaughter Rosa, and many other characters, Jimmy must follow the trail to become the best damn police cop ever. With music by Ben Adams, and lyrics and book by Nathan Parkinson, Tom Roe, and Zachary Hunt, get ready to laugh at what can only be described as an amazing homage to your favorite 80’s cop shows. Without a doubt, Police Cops is bound to be one of the funniest things you have seen at the theatre in a long time!",0
polkadots: the cool kids musical,2017,1,Comedy,"Contemporary, Simple/No Set","Rockaway, Present Day",small,Recording,Some Dance,"Mostly female cast
                                                                                    
                                            Includes child, adult characters",tya;theatre for young audiences;small cast;star vehicle (female);audience participation;audience interaction,"Diverse Cast, Elementary School, High School, Middle School, Mostly Female Cast, Small Cast, Star Vehicle Female, Theatre For Young Audiences (TYA)","Eight-year-old Lily Polkadot has just moved to the “Squares Only” town of Rockaway and is nervous to start her first day of school. Lily is the first Polkadot to attend this Square school and she faces bullying and harassment from her peers. From mean girl Penelope’s constant bullying to segregated drinking fountains, Lily begins to feel like she’ll never find a friend in Rockaway. But when Lily meets Sky, a shy Square boy, an unexpected friendship begins. Inspired by the events of The Little Rock 9, Polkadots: the Cool Kids Musicals is a great TYA show to teach kids a history lesson in a colorful way and show them that our differences are what make us all cool kids.",0
pretty woman: the musical,2018,2,"Comedy, Romance","Contemporary, Multiple Settings","Los Angeles, 1980s",medium,Medium,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, elderly characters",businessman;prostitute;hollywood;american accent;romance;love;1980s;hotel;contemporary mt;disapproval;escort;transformation;self-worth;rock musical;pop;romantic comedy;los angeles;business;broadway;west end,"Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Based on the 1990 film of the same name, Pretty Woman is a modern retelling of the Cinderella story. Vivian, a Hollywood prostitute is picked up on the street by Edward Lewis, a tough but lonely business mogul. Employed as his companion, Vivian is immersed into the elite Beverly Hill society, but she soon realizes that she is a fish out of water. She wants to make something of her life, but she must be true to herself along the way. During a week of romance, both Vivian and Edward embark on a journey of self-discovery and discover true love along the way. Edward is softened and transformed by Vivian’s joy of life and he comes to realize that he must change his priorities if he wants to hold on to what matters most. He rediscovers his moral compass and drops his brutal business methods, much to his money-grabbing lawyer’s chagrin. Edward and Vivian’s love transcends social divides and this independent Cinderella gets her Prince.",7
the prince of egypt,2017,2,"Drama, Historical/Biographical","Period, Multiple Settings",Ancient Egypt,medium,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, child characters",ancient egypt;egypt;hebrew;slavery;bible story;family;heritage;pharaoh;moses;leader;diverse casting,"Diverse Cast, Professional Theatre, Regional Theatre","Adapted from the Biblical book of Exodus, The Prince of Egypt follows Moses, who begins life as a Hebrew baby set adrift on the Nile by his mother, Yocheved, to escape genocide. After being rescued and adopted by the Queen of Egypt, he grows up in a privileged life in the Egyptian court. However, Moses cannot escape his ultimate destiny. Upon discovering his true heritage, Moses embarks on a mission to lead the Hebrew people out of slavery, which pits him against his brother, Ramses, the new Pharaoh of Egypt. With a heavy heart, Moses sends a series of plagues into Egypt in an effort to persuade Ramses to grant the Hebrews their freedom. But it is a heavy cost to pay. Both men must be broken in order to heal and face their separate destinies.",16
"priscilla, queen of the desert",2006,2,Comedy,"Contemporary, Multiple Settings","australia, 1990s",medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult, child characters",drag queen;transgender;homosexuality;homophobia;drag show;theatrical;australian;australian accent;pop songs;camp;road trip;bus;acceptance;controversy;family;lgbt;lgbtq;jukebox;jukebox musical;queer theatre,"Large Cast, Mostly Male Cast, Professional Theatre","Based on the 1994 popular movie of the same name, Priscilla Queen of the Desert follows the journey of two drag queens, Tick and Adam, and a transgender woman, Bernadette, as they travel across Australia in their bus, named Priscilla. Tick has been asked to perform at a hotel in Alice Springs by his estranged wife, Marion. Taking Adam and Bernadette along with him, the trio drive from Sydney to the remote resort town in the middle of the desert. Tick tells his companions that the trip is a favour to his wife, from whom he is separated, but does not reveal that he also has an 8-year-old son he does not know, but who now wants to meet his father. As they head west, Tick, Adam, and Bernadette learn to accept and support each other, whilst encountering a number of strange and colorful characters. After experiencing violent homophobic threats, Adam is forced to realize that not everyone is accepting of his flamboyant lifestyle, whilst Bernadette opens up to the possibility of love again following the death of her husband. Upon reaching Alice Springs, Tick finally meets his son, Benjamin, who accepts his father’s homosexuality and drag queen persona. The trio perform at the resort and realize that they have forged a bond that will last forever. Full of well-known pop songs and supported by three divas flying high above the stage, Priscilla Queen of the Desert is a flamboyant, funny, disco-fuelled musical that gets the audience up on their feet.",0
the producers,2001,2,"Comedy, Satire",Spectacle,"1959, new york city",large,Large,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult characters",comedy;funny;mel brooks;broadway;crooks;fraud;nazi;romance;tony award best musical;tony award;tony nominee;olivier award,"College/University, Community Theatre, High School, Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Male","Based on the 1968 film, Mel Brooks’s musical The Producers is a laugh-out-loud, outrageous, crowd-pleasing farce that has been a smash hit since its 2001 debut.  Fading Broadway producer Max Bialystock is desperate to get to the top of his profession again, and he finds an unlikely ally in mousy accountant Leo Bloom, who hypothesizes that one could make far more money with a flop of a show than with a hit.  Together, the two set out to produce the worst musical ever to hit Broadway, with the worst script, the worst director, and the worst cast they can find; the catch is that they will raise two million dollars to finance the show, and they plan to take the money and head to Rio when the show inevitably closes after just one performance.  Too bad for Bialystock & Bloom that, against all odds, the show is a total hit!  With dozens of big and bit parts alike, no shortage of showstopping musical numbers, and Brooks’ signature humor keeping audiences in stitches, The Producers is definitely far from a flop.",0
the prom,2016,2,"Comedy, Romance","Contemporary, Multiple Settings","Indiana, America, Present Day",medium,Medium,Musical Staging,"Mostly female cast
                                                                                    
                                            Includes late teen, young adult, mature adult, adult characters",love;acceptance;high school;high school students;gay;lesbian;homophobia;bigotry;small town;indiana;broadway;actors;camp;contemporary mt;coming out;humiliation;girlfriend;comedy;romance;lgbtq;queer theatre;tony nominee,"College/University, Professional Theatre, Regional Theatre, Star Vehicle Female","The careers of four eccentric Broadway stars are struggling and they desperately need a new stage upon which to shine bright once more. Seeking out a cause, they head straight to small-town Indiana. Through social media, they have heard of trouble brewing around a school prom. Local girl, Emma Nolan, wants to take her girlfriend to prom but the homophobic PTA are on a mission to keep the high school dance on the straight and narrow. Determined to transform lives and put themselves back in the limelight, the Broadway celebrities muscle in to change the town and give Emma the prom she deserves.",0
"promises, promises",1968,2,"Comedy, Farce, Romance","Period, Multiple Settings","New York City, 1962",large,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult characters",star vehicle (female);star vehicle (male);1960s;classic broadway;book musical;flexible cast size;affair;extramarital affair;manhattan;new york;suicide attempt;love;confusion;pop;grammy award;tony nominee,"College/University, Community Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","The year is 1962 and the place is New York City. Chuck Baxter is a young, ambitious clerk working for the New York insurance company, Consolidated Life. Chuck is eager to climb the corporate ladder but, unfortunately for him, he’s the type of guy no-one really notices. However, he hits on a plan: in return for allowing the firm's executives to use his midtown apartment for their extramarital love affairs, they agree to sing his praises to the company managers. However, trouble occurs when Chuck discovers that the object of his own love, Fran Kubelik, is caught in a complicated love affair with the powerful personnel manager, J.D Sheldrake...to whom Chuck has just lent his apartment! Throw in a nosy neighbor who is convinced that Chuck is a womanizing cad and a large quantity of sleeping pills and it's a recipe for disaster...or is it? With a score by Burt Bacharach and Hal David, the musical provided two hit singles for Dionne Warwick (“Promises, Promises” and “I’ll Never Fall in Love Again”)",0
quilters,1984,2,,,,medium,,,Mostly female cast,,,'Quilters' is the story of a pioneer woman and her six daughters dealing with the struggles and rewards of frontier life.,0
rags,1986,2,,"Period, Multiple Settings","New York City, 1910",medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, late teen, child, early teen, mature adult, elderly characters",jewish;jewish immigrants;immigrants;immigration;community;religion;union;strike;revolt;prejudice;hope;classism;family;love;children;star vehicle (female);american dream;diaspora;tony nominee,"Community Theatre, College/University, High School, Professional Theatre, Regional Theatre, Religious Groups, Star Vehicle Female","Rebecca Hershkowitz and her young son David arrive on the shores of America in 1910, hoping to find a better life than the one they left behind in Russia. However, New York City is not as welcoming to Jewish immigrants as Rebecca was hoping. A single mother in search of new opportunities, Rebecca finds a community of Jewish immigrants and other social outsiders who come together to find a sense of community in their new home. Rags is a heartwarming and dramatic tale that depicts the struggles and triumphs of the American Dream. Featuring the beautiful music of Stephen Schwartz and Charles Strouse, Rags is sure to captivate audiences as they follow a community of immigrants, looking towards a hopeful future. 
This guide is based off of the 2020 London Cast Revival of Rags. Currently, the 2020 Revival is the version available for licensing through Music Theatre International.",0
ragtime,1996,2,"Drama, Historical/Biographical",Multiple Settings,"new york city and environs (especially new rochelle), 1902 - 1906",large,,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult, child, late teen characters",epic;american;immigration;race;class;family;love;historical;african-american;jewish;african-american cast;jewish immigrants;gilded age;tony nominee,,"Based on the novel of the same name by E.L. Doctrow, Ahren’s and Flaherty’s Ragtime is a compelling epic capturing the American experience at the turn of the 20th century.  Tracking three diverse families in pursuit of the American dream in the volatile “melting pot” of turn-of-the-century New York, Ragtime confronts the dialectic contradictions inherent in American reality:  experiences of wealth and poverty, freedom and prejudice, hope and despair.  Over the course of the show, the worlds of a wealthy white couple, a Jewish immigrant father and his motherless daughter, and an African American ragtime musician intertwine.  Together, they discover the surprising interconnections of the human heart, the limitations of justice and the unsettling consequences when dreams are permanently deferred.  Featuring many of the historical figures that built and shaped turn-of-the-century America, including J.P. Morgan, Emma Goldman, Harry Houdini, Evelyn Nesbit and Henry Ford, this musical sweeps across the diversity of the American experience to create a stirring epic that captures the beats of the American experience:  the marches, the cakewalks and - of course, the ragtime.
Note:  this study guide is based on Ragtime (Version 2) which has been produced on the West End, the touring Broadway production, and in regional theatres around the world. It features a somewhat smaller cast and orchestra and less elaborate scenery than the Broadway production (called “Version 1” on the Music Theater International website.) It is still grand and epic in scale, with a cast of 19+.  One of the most significant differences between the two versions is in the vocal ranges of the characters, which change pretty substantially to accommodate the difference in orchestration.",0
raisin,1973,2,,,,medium,,,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, child, early teen, late teen, mature adult characters",,,"“Raisin” takes place in 1950s Southside Chicago and revolves around a working class black family aspiring to a better life after the death of their father. Hope is sparked by the arrival of a $10,000 life insurance check. However, conflict ensues when mother and son want to spend the money in different ways. Walter Lee Younger Jr. wants to use the money to open a liquor business. For Mama Lena, however, the windfall means the opportunity to move out of the slums and finance daughter Beneatha's medical school education.",0
redhead,1959,2,"Drama, Romance",Period,"London, 1800s",medium,Medium,Heavy,"Includes adult, mature adult, late teen, young adult characters",London;music hall;actor;actress;comedian;murder;mystery;lover;sisters;friends;disguises;murder mystery;I want song;tango;golden age;golden age musical;Bob Fosse;tony award best musical;victorian england;victorian era;victorian;tony nominee;tony award,"College/University, Community Theatre, Large Cast, Regional Theatre, Professional Theatre, Star Vehicle Female","In the heyday of music halls in Victorian London, a young actress is murdered by a mysterious strangler. Wanting to capitalize on the scintillating event, the Simpson Sisters' Waxworks puts on an exhibit dramatizing the murder. The exhibit angers actor Tom Baxter, the murdered actress’ former partner, and while he rails against the Simpson sisters, their niece Essie catches sight of the strong man and falls deeply in love. In order to gain Tom’s attention, Essie fabricates an attack by the murderer - a lie which soon comes true when the strangler sets his sights on Essie herself. 
This buoyant murder mystery musical won six Tony awards in the year of its premiere, and was the directorial debut of the legendary Bob Fosse. The premiere performance of Redhead also featured Gwen Verdon in the role of Essie Whimple, for which she won her fourth Tony, just one year before she and Fosse were married.",8
reefer madness,2001,2,"Dark Comedy, Satire","Contemporary, Multiple Settings","A high school auditorium in anywhere America, 1936",medium,Medium,Some Dance,"Includes adult, late teen, young adult characters",1930s;contemporary mt;parody;satire;adaptation;after school special;drugs;drug use;marijuana;warning;moralizing;parents;students;high school show;temptation;addiction;sex;orgy;hallucination;theft;rape;murder;cannibalism;love;young love;metatheatre,"College/University, Community Theatre, Professional Theatre, Regional Theatre","There is a new menace sweeping the nation, ready to ensnare and seduce the youth and drag them down into a life of sin: REEFER MADNESS! In this hilarious, over-the-top satire, the high school drama club, led by the gravely stern Lecturer, illustrates the perils of the “leafy green assassin.” They tell the story of Jimmy, a fine, upstanding, All-American boy whose life fell apart because of the evil reefer. Jimmy was a good kid, with a bright future ahead of him. He had a sweetheart whom he loved, the wholesome and sweet Mary Lane. But when Jimmy is tricked into taking his first puff of reefer, his life quickly spirals downward. He begins to neglect his family, his schoolwork, even Mary, in order to spend all his time smoking at the Reefer Den. His addiction leads him to debauchery, sin, theft, and, eventually, murder. Reefer Madness is an irreverent parody of the classic 1930s instructional film full of camp, hilarity, mayhem, and madness.",0
